id,topic,question_type,age_group,content_length,difficulty
edu_qa_0000,language_literacy,factual,3-4,9,beginner
edu_qa_0001,general_knowledge,factual,4-6,9,beginner
edu_qa_0002,arts_creativity,instructional,4-6,22,intermediate
edu_qa_0003,general_knowledge,factual,4-6,6,beginner
edu_qa_0004,general_knowledge,instructional,4-6,19,beginner
edu_qa_0005,physical_activity,instructional,4-6,18,beginner
edu_qa_0006,language_literacy,factual,4-6,12,beginner
edu_qa_0007,arts_creativity,factual,3-4,11,beginner
edu_qa_0008,nutrition_cooking,instructional,3-4,12,beginner
edu_qa_0009,social_emotional,factual,4-6,17,beginner
edu_qa_0010,general_knowledge,factual,4-6,18,beginner
edu_qa_0011,math_numbers,factual,4-6,6,beginner
edu_qa_0012,nutrition_cooking,general,4-6,15,beginner
edu_qa_0013,health_body,instructional,3-4,14,beginner
edu_qa_0014,nutrition_cooking,factual,4-6,10,beginner
edu_qa_0015,nutrition_cooking,instructional,4-6,9,beginner
edu_qa_0016,arts_creativity,explanatory,6-8,25,intermediate
edu_qa_0017,physical_activity,instructional,4-6,20,intermediate
edu_qa_0018,math_numbers,general,4-6,1,beginner
edu_qa_0019,nutrition_cooking,factual,4-6,20,intermediate
edu_qa_0020,general_knowledge,general,4-6,16,beginner
edu_qa_0021,nutrition_cooking,explanatory,4-6,9,beginner
edu_qa_0022,general_knowledge,factual,4-6,13,beginner
edu_qa_0023,general_knowledge,explanatory,3-4,12,beginner
edu_qa_0024,language_literacy,instructional,3-4,5,beginner
edu_qa_0025,nutrition_cooking,explanatory,4-6,22,intermediate
edu_qa_0026,nutrition_cooking,instructional,4-6,10,beginner
edu_qa_0027,math_numbers,instructional,4-6,16,beginner
edu_qa_0028,math_numbers,explanatory,4-6,14,beginner
edu_qa_0029,nutrition_cooking,instructional,4-6,15,beginner
edu_qa_0030,general_knowledge,explanatory,4-6,16,beginner
edu_qa_0031,nutrition_cooking,general,4-6,16,beginner
edu_qa_0032,general_knowledge,explanatory,4-6,24,intermediate
edu_qa_0033,general_knowledge,factual,4-6,13,beginner
edu_qa_0034,general_knowledge,explanatory,4-6,21,intermediate
edu_qa_0035,safety_community,factual,4-6,11,beginner
edu_qa_0036,language_literacy,factual,5-7,26,intermediate
edu_qa_0037,social_emotional,factual,4-6,13,beginner
edu_qa_0038,nutrition_cooking,factual,4-6,11,beginner
edu_qa_0039,general_knowledge,factual,4-6,11,beginner
edu_qa_0040,general_knowledge,explanatory,4-6,9,beginner
edu_qa_0041,language_literacy,general,4-6,15,beginner
edu_qa_0042,social_emotional,factual,4-6,5,beginner
edu_qa_0043,nutrition_cooking,factual,4-6,7,beginner
edu_qa_0044,language_literacy,instructional,3-4,14,beginner
edu_qa_0045,social_emotional,explanatory,4-6,19,beginner
edu_qa_0046,general_knowledge,factual,5-7,26,intermediate
edu_qa_0047,general_knowledge,explanatory,4-6,20,intermediate
edu_qa_0048,arts_creativity,factual,4-6,20,intermediate
edu_qa_0049,general_knowledge,factual,4-6,3,beginner
edu_qa_0050,language_literacy,factual,4-6,7,beginner
edu_qa_0051,general_knowledge,explanatory,4-6,21,intermediate
edu_qa_0052,social_emotional,instructional,4-6,15,beginner
edu_qa_0053,health_body,explanatory,6-8,25,intermediate
edu_qa_0054,nutrition_cooking,explanatory,4-6,18,beginner
edu_qa_0055,nutrition_cooking,explanatory,3-4,12,beginner
edu_qa_0056,nutrition_cooking,factual,4-6,7,beginner
edu_qa_0057,math_numbers,general,4-6,15,beginner
edu_qa_0058,nutrition_cooking,factual,3-4,11,beginner
edu_qa_0059,social_emotional,factual,4-6,21,intermediate
edu_qa_0060,general_knowledge,explanatory,4-6,15,beginner
edu_qa_0061,nutrition_cooking,general,3-4,14,beginner
edu_qa_0062,nutrition_cooking,factual,4-6,1,beginner
edu_qa_0063,nutrition_cooking,explanatory,4-6,20,intermediate
edu_qa_0064,nutrition_cooking,factual,4-6,12,beginner
edu_qa_0065,nutrition_cooking,explanatory,4-6,17,beginner
edu_qa_0066,social_emotional,factual,4-6,3,beginner
edu_qa_0067,math_numbers,factual,4-6,13,beginner
edu_qa_0068,nutrition_cooking,explanatory,4-6,18,beginner
edu_qa_0069,nutrition_cooking,general,3-4,14,beginner
edu_qa_0070,physical_activity,factual,4-6,17,beginner
edu_qa_0071,safety_community,factual,4-6,12,beginner
edu_qa_0072,nutrition_cooking,explanatory,4-6,23,intermediate
edu_qa_0073,general_knowledge,explanatory,6-8,28,intermediate
edu_qa_0074,math_numbers,factual,5-7,29,intermediate
edu_qa_0075,health_body,factual,4-6,16,beginner
edu_qa_0076,health_body,factual,4-6,3,beginner
edu_qa_0077,general_knowledge,factual,4-6,11,beginner
edu_qa_0078,math_numbers,factual,4-6,2,beginner
edu_qa_0079,physical_activity,instructional,3-4,7,beginner
edu_qa_0080,arts_creativity,instructional,4-6,12,beginner
edu_qa_0081,general_knowledge,factual,4-6,12,beginner
edu_qa_0082,safety_community,explanatory,4-6,9,beginner
edu_qa_0083,physical_activity,factual,4-6,19,beginner
edu_qa_0084,general_knowledge,factual,4-6,19,beginner
edu_qa_0085,nutrition_cooking,factual,5-7,46,intermediate
edu_qa_0086,language_literacy,factual,3-4,9,beginner
edu_qa_0087,nutrition_cooking,instructional,4-6,15,beginner
edu_qa_0088,general_knowledge,general,4-6,22,intermediate
edu_qa_0089,nutrition_cooking,factual,4-6,1,beginner
edu_qa_0090,nutrition_cooking,explanatory,4-6,16,beginner
edu_qa_0091,nutrition_cooking,factual,4-6,15,beginner
edu_qa_0092,general_knowledge,explanatory,4-6,23,intermediate
edu_qa_0093,general_knowledge,explanatory,4-6,21,intermediate
edu_qa_0094,nutrition_cooking,factual,4-6,10,beginner
edu_qa_0095,general_knowledge,factual,4-6,4,beginner
edu_qa_0096,general_knowledge,explanatory,4-6,16,beginner
edu_qa_0097,language_literacy,instructional,4-6,15,beginner
edu_qa_0098,nutrition_cooking,factual,4-6,1,beginner
edu_qa_0099,social_emotional,factual,4-6,15,beginner
edu_qa_0100,general_knowledge,explanatory,6-8,28,intermediate
edu_qa_0101,arts_creativity,factual,4-6,6,beginner
edu_qa_0102,social_emotional,explanatory,4-6,17,beginner
edu_qa_0103,social_emotional,instructional,4-6,15,beginner
edu_qa_0104,health_body,explanatory,5-7,35,intermediate
edu_qa_0105,nature_science,explanatory,4-6,16,beginner
edu_qa_0106,nature_science,factual,4-6,18,beginner
edu_qa_0107,language_literacy,instructional,3-4,13,beginner
edu_qa_0108,safety_community,general,5-7,30,intermediate
edu_qa_0109,nutrition_cooking,explanatory,4-6,19,beginner
edu_qa_0110,physical_activity,recall,4-6,15,beginner
edu_qa_0111,general_knowledge,explanatory,4-6,16,beginner
edu_qa_0112,general_knowledge,explanatory,4-6,15,beginner
edu_qa_0113,nutrition_cooking,factual,4-6,11,beginner
edu_qa_0114,general_knowledge,factual,4-6,21,intermediate
edu_qa_0115,nature_science,factual,4-6,9,beginner
edu_qa_0116,language_literacy,factual,4-6,8,beginner
edu_qa_0117,general_knowledge,factual,4-6,15,beginner
edu_qa_0118,nutrition_cooking,factual,4-6,17,beginner
edu_qa_0119,general_knowledge,factual,4-6,9,beginner
edu_qa_0120,nutrition_cooking,general,4-6,16,beginner
edu_qa_0121,general_knowledge,explanatory,4-6,17,beginner
edu_qa_0122,social_emotional,factual,4-6,21,intermediate
edu_qa_0123,health_body,factual,4-6,18,beginner
edu_qa_0124,safety_community,explanatory,4-6,18,beginner
edu_qa_0125,nutrition_cooking,instructional,4-6,13,beginner
edu_qa_0126,general_knowledge,factual,4-6,15,beginner
edu_qa_0127,general_knowledge,factual,4-6,22,intermediate
edu_qa_0128,language_literacy,instructional,4-6,14,beginner
edu_qa_0129,arts_creativity,factual,4-6,18,beginner
edu_qa_0130,language_literacy,factual,4-6,13,beginner
edu_qa_0131,arts_creativity,factual,4-6,15,beginner
edu_qa_0132,safety_community,explanatory,4-6,24,intermediate
edu_qa_0133,nutrition_cooking,general,4-6,19,beginner
edu_qa_0134,nutrition_cooking,instructional,3-4,12,beginner
edu_qa_0135,language_literacy,factual,4-6,18,beginner
edu_qa_0136,math_numbers,general,3-4,1,beginner
edu_qa_0137,language_literacy,factual,4-6,10,beginner
edu_qa_0138,nutrition_cooking,explanatory,4-6,11,beginner
edu_qa_0139,health_body,instructional,4-6,15,beginner
edu_qa_0140,nutrition_cooking,general,3-4,14,beginner
edu_qa_0141,safety_community,factual,4-6,11,beginner
edu_qa_0142,nutrition_cooking,explanatory,6-8,27,intermediate
edu_qa_0143,language_literacy,explanatory,4-6,24,intermediate
edu_qa_0144,general_knowledge,explanatory,4-6,15,beginner
edu_qa_0145,general_knowledge,factual,4-6,21,intermediate
edu_qa_0146,nutrition_cooking,instructional,4-6,20,intermediate
edu_qa_0147,nutrition_cooking,factual,4-6,18,beginner
edu_qa_0148,arts_creativity,general,4-6,17,beginner
edu_qa_0149,social_emotional,general,4-6,11,beginner
edu_qa_0150,math_numbers,instructional,4-6,21,intermediate
edu_qa_0151,general_knowledge,factual,4-6,15,beginner
edu_qa_0152,general_knowledge,explanatory,4-6,22,intermediate
edu_qa_0153,nutrition_cooking,explanatory,4-6,19,beginner
edu_qa_0154,general_knowledge,factual,4-6,2,beginner
edu_qa_0155,general_knowledge,factual,4-6,23,intermediate
edu_qa_0156,general_knowledge,instructional,5-7,36,intermediate
edu_qa_0157,safety_community,explanatory,4-6,14,beginner
edu_qa_0158,general_knowledge,explanatory,4-6,16,beginner
edu_qa_0159,arts_creativity,factual,4-6,11,beginner
edu_qa_0160,general_knowledge,factual,4-6,1,beginner
edu_qa_0161,arts_creativity,factual,4-6,9,beginner
edu_qa_0162,social_emotional,factual,4-6,18,beginner
edu_qa_0163,general_knowledge,factual,5-7,42,intermediate
edu_qa_0164,nutrition_cooking,factual,4-6,14,beginner
edu_qa_0165,nutrition_cooking,factual,4-6,11,beginner
edu_qa_0166,social_emotional,factual,4-6,18,beginner
edu_qa_0167,general_knowledge,factual,4-6,18,beginner
edu_qa_0168,general_knowledge,factual,3-4,10,beginner
edu_qa_0169,general_knowledge,explanatory,4-6,15,beginner
edu_qa_0170,safety_community,explanatory,6-8,26,intermediate
edu_qa_0171,general_knowledge,factual,4-6,7,beginner
edu_qa_0172,arts_creativity,factual,4-6,17,beginner
edu_qa_0173,general_knowledge,general,3-4,12,beginner
edu_qa_0174,safety_community,instructional,4-6,12,beginner
edu_qa_0175,general_knowledge,factual,4-6,2,beginner
edu_qa_0176,nutrition_cooking,general,4-6,10,beginner
edu_qa_0177,social_emotional,factual,4-6,15,beginner
edu_qa_0178,arts_creativity,explanatory,4-6,22,intermediate
edu_qa_0179,physical_activity,factual,3-4,9,beginner
edu_qa_0180,nutrition_cooking,factual,4-6,1,beginner
edu_qa_0181,nutrition_cooking,factual,4-6,2,beginner
edu_qa_0182,nutrition_cooking,factual,4-6,1,beginner
edu_qa_0183,math_numbers,factual,4-6,2,beginner
edu_qa_0184,nutrition_cooking,general,4-6,24,intermediate
edu_qa_0185,health_body,explanatory,5-7,28,intermediate
edu_qa_0186,safety_community,explanatory,4-6,18,beginner
